BAUNE dit Lafranchise, Jean - Bellenaves
BARROIS, Antoine - Chantelle
BERTRAND, Jean - Marcillat-en-Combraille
BOUSSANGE, François - Saint-Fargeol
BOUSSAT, Jean - Moulins
BRUEL, Antoine - Chariel-Cintrat
BRUNET, François - Isle-et-Bardais
BUREAU, François - Moulins
CARTON dit Philibert, Claude-Philippe - Le Mayet-de-Montagne
CHATEL, Gilbert - Gannat
CHAZAL, Etienne - Vichy
CHEVALIER, Jean - Terjat
CHODILLON, Antoine - Ygrande
DERY, Jacques - Vieure
DESBORDES dit Desmarais, Blaise - Sanssat
DESJARDINS ou JOURDAIN, Claude - Isle-et-Bardais
DEVEAU dit Retor, Claude - Le Mayet-de-Montagne
DUBOUCHET DEJADON de LACOUDRAY, Charles - Ussel-d’Allier
DUMAIS dit Bourbonnais, Maïeule ou Pierre - Souvigny
DU THET, Gilbert - Chantelle
FRÉDÉRIC, Jean - Moulins
GIRARDOT, Jean-Baptiste-Joseph - Moulins
GIROUARD, Antoine - Montluçon
GOUJON, Louis-André - Le Brethon
GRAVIER, Jacques - Moulins
GROS, Antoine - Bourbon-l’Archambault
GUILLOT, Nicolas - Moulins
GUILLOUET, Claude - Agonges
GUILMAN dit Duvillars, Gilbert - Gipcy
HEU (d’), Jacques - Moulins
JOYAUX dit le Bourbonnais, Jacques - Moulins
LAVIGNE, René - Creuzier-le-Neuf
MAGNAN, Gaspard - La Celle
MIGEON DE BRANSSAT, Jean-Baptiste - Moulins
MONIN, Jean - Château-sur-Allier
OUDIN dit Saint-Amour, Majole ou Pierre - Souvigny
REBERIEUX dit Delestre, François - Montluçon
RIEGES DE VILLEMONTES, Jean-Baptiste - Ferrières-sur-Sichon
ROBINET, Jean-Louis ou Louis - Vichy
TOURNEL, Jacques - Moulins
VIGER OU VIGOR dit Galop, Jacques - Moulins
