AGRON, Jean - Palisse
ARNAUD ou RENAUD, Jean-Baptiste - Astaillac
BAUDRIO dit Labonté, Antoine - Sainte-Fortunade
BEAUMONT, Jean-Baptiste - Brive-la-Gaillarde
BESSE dit Francoeur, Jean - Roche-le-Peyroux, La-Roche-l’Abeille
BLENIER dit Jarry, Bernard - Naves
BRAND dit Larivière, Jean - Liourdres
BURQUE dit Laliberté, Antoine - Mansac
CAMPEAU, Etienne - Brive-la-Gaillarde
CHANAL, Catherine - Darnets
CHANAL, Françoise - Darnets
CHANAL, Françoise - Darnets
CHANAL, Guillaume - Darnets
CHANAL, Léonarde - Darnets
CHANAL, Michel - Darnets
CHANAL, Vincent - Darnets
CHAPELAIN, Bernard - Lubersac
CHAPELAIN, Françoise - Lubersac
DECOUX, Louis - Ségur-le-Château
DUBOIS dit Laviolette, Antoine - Tulle
EMOND, Jean-Baptiste ou Jérôme - Saint-Salvadour
GOUPIL, Antoine - Cornil
GRALA, Jean - Marcillac-la-Croisille
LAROSE, Jean - Saint-Cernin-de-Larche
LEMAY dit Larose, Pierre - Salon-la-Tour
LEVIS (de), Henri - Ussel
MALO, Jean - Sainte-Marie-Lapanouze
MARILLAC dit Sanscartier, Jérôme - Chamboulive
MONS, Pierre - Saint-Martin-la-Méanne
MORAND dit Saint-Jean, Pierre - Malemort-sur-Corrèze
MOULINEF, Martial - Aix
OLIGNY, Jean - Camps-Saint-Mathurin-Léobazel
PAIEMENT dit Laforest, Jean - Sainte-Fortunade
PART, Pierre - Tulle
PÉRUSSIE, Jean - Tulle
PÉRUSSIE dit Baguette, Julien - Tulle
PEYRICAL, Antoinette - Tulle
PRADEL DE LAMASE, Jean - Uzerche
RENARD, Michel-Barthélemy - Confolent-Port-Dieu
SEMUR ou SEMEUR, Marc - Tulle
VEYSSIÈRES, Léger-Jean-Baptiste - Tulle
VIALET ou VIOLET, François - Tulle
