ACHARD, Jacques - Saint-Martin-de-la-Cluze
AGNES ou AGNIES dit Laguerre, Joseph - Châbons
ALLOIRE dit Lapierre, Pierre - Grenoble
BARBE, Jacques - Pellafol
BARBIER, Etienne - Tullins
BARDON, Joseph - Grenoble
BERNIER, Benoît-François - Vienne
BERTRAND dit Jourdan, Edmond-Thomas - Barraux
BIARD, Pierre - Grenoble
BILLAU dit Patroka ou l’Espérance, Jean-Baptiste - Grenoble
BONIN dit Dauphiné, Antoine - Grenoble
BORNE ou BORNAIS dit Larose, Georges - Grenoble
BOUDILLON, Jacques - Grenoble
BRAY, Etienne - Montagne
BRENIER ou BRUNIER, Jean-Baptiste - Saint-André-le-Gaz
BRENIER ou BRUNIER, Jean-Baptiste - Vienne
CHAUVET, André - Villeneuve-de-Marc
CLAVEL, François - Oris-en-Rattier
COLON, Marie - Herbeys
CORAND, Joseph - Grenoble
CORDIER, Jean - Cour-et-Buis
DANIEL, Jean-Baptiste - Chélieu
DASTIER, Claude - Saint-Alban-de-Roche
DECHAUX, Pierre - Bilieu
DEROSE, Jean - Vienne
DESRUES, Jean-Baptiste - Bernin
DEVAURS ou DEVAUT, Pierre - Vienne
DUFRESNAY, Pierre - Noyaret
DUGUAY, Jean - Vienne
DUPLAIN, Jean-Baptiste - Vienne
FAGOT, Daniel - Voiron
FONTEMONT, Daniel - Vatilieu
FORNERET, Louis - Le Pont-de-Beauvoisin
FOSSE, Joseph - Cour-et-Buis
FOURNIER, Jean - Saint-Laurent-du-Pont
FRENETTE, Léonard - Venon
GERMAIN, Pierre - Grenoble
GILBERT ou GILIBERT dit Laforme, Jérôme - Saint-Marcellin
GILBERT ou GILIBERT dit Laforme, Jérôme - Le Mottier
GRENIER, Jean - Saint-Romans
GRILLOT DE POILLY, François-Claude - Barraux
GUILLON ou GUYON, Pierre - Vienne
JACQUET ou JACQUIERS, François - Bourgoin-Jallieu
JARRET DE BEAUREGARD, André - Vignieu
JARRET DE VERCHERES, François - Vignieu
LA COLOMBIERE (de), Joseph - Vienne
LACOMBE, Louis - Tréminis
LENOIR dit Rolland, François - Moras
LEROUX ou ROUX, Pierre - Saint-Romans
LIANDRA, François - Saint-Chef
MARQUIAN, Thérèse - Saint-Ismier
MERMET, Jacques - Grenoble
MICHON, Edmond - Grenoble
MONTSENIS dit Dubiat, Jean-Baptiste - La Côte-Saint-André
MORIEU, Jean-Claude - Lumbin
MOULIN, Pierre - Grenoble
PAIET, Guillaume - Jarcieu
PASTEUR, Georges - Grenoble
PATIN, Antoine - Grenoble
PATIN, Etienne - Grenoble
PATIN, Jacques - Grenoble
PAULIN, Antoine - Saint-Paul-de-Varces
PAYANT, Louis - Pellafol
PECAUDY DE CONTRECOEUR, Antoine - Vignieu
PETIT, Jean - Saint-Julien-de-l’Herms
PICARD, Jean ou Jacques - Crolles
POLLET DE LA COMBE-POCATIERE, - François Chélieu
PONCE ou PONEY, Claude - Voiron
PONCET, Henri-Melchior - Jarcieu
PONCIN, Claude - Jarcieu
POUCHOT, Pierre - Grenoble
POURROY DE LAUBERIVIERE (de), François-Louis - Grenoble
QUERTY, Jean - Crolles
RAMBIN, André - Grenoble
RANDON ou NADOT, Jean - Vienne
RAYMOND DE MONTMIN, Claude - Grenoble
RENAUD dit Lajeunesse, Jean-Louis - Saint-Jean-d’Avelanne
REVOL, Pierre - Jarrie
ROBERT, Etienne - Saint-Guillaume
ROBERT, François - Grenoble
ROCHETTE, Etienne - Montbonnot-Saint-Martin
RODIER dit Saint-Martin, Jean ou Jacques - Sinard
ROGNON, Georges - Saint-Clair-de-la-Tour
ROMAN, Jacques - Grenoble
ROUX, Pierre - Grenoble
RULE, François - Les Abrets
SAINT-MARTIN (de), Jean-Jacques - Agnin
SAINT-OURS (de), Pierre - Grenoble
ST-VALLIER-LA-CROIX-CHEVRIERES - (de), Jean-Baptiste Grenoble
SAUREL ou SOREL, Pierre - Grenoble
SONDASSE, Agnès - Grenoble
TAUVET, Michel - Eyzin-Pinet
TRENNAUNAY DE CHANFRET, Claude - Moirans
VACHON DE BELMONT, François - Grenoble
VERNET dit Ladouceur, Laurent - Claix
VIENNAY-PACHOT, François - Le Bourg-d’Oisans
VILLIOT ou LATOUR, Sébastien - Saint-Pierre-d’Allevard
VINAY ou VINET dit Lalime, Jean-Baptiste - La Tour-du-Pin
