ARIAIL, Jean-Mathias - Mouzillon
AVAUGOUR (d’), Louis-Pierre - Nantes
BILLERON, Pierre - Nantes
BLAISE, Marguerite - Nantes
BOISSEAU, Pierre - Trans-sur-Erdre
BOUIN, Julien - Montrelais
BOUCHARD, René - Lavau-sur-Loire
BRICAUT, Guillaume - Belligné
BRICAUT, Jean - Vay
BROSSEAU, Denis - Nantes
BROSSEAU, Julien - Nantes
BRUNET, Alexis - Ancenis
BUREAU, Louis - Nantes
CADARAN (de), Louis - Bouvron
CAILHAULT DE LA TESSERIE, Jacques - Saint-Herblain
COITOU, Jean - Saint-Étienne-de-Montluc
COLLET, Jean - Nantes
CORBEAU, Pierre - Nantes
CURRATEAU DE LA BLAISERIE, Jean-Baptiste - Nantes
DARGENT, Joseph - Nantes
DAUBIGEON, Julien - Clisson
DENIAU, Jean - Nantes
DEVIN, Jean - Nantes
DOISON, Sébastien - Nantes
DUBOIS, Christophe - Guérande
DUGUÉ DE BOISBRIAND, Michel-Sidrac - Puceul
DUPERET, Jacques - Nantes
DURET, Louis - La Marne
FORCIER, Pierre - Nantes
FOURRÉ, René - Herbignac
FRETON, Julien - Moisdon-la-Rivière
GALET, Joseph - Machecoul
GAREAU, René - Vay
GAUTHIER, Mathurin - Legé
GERBERT, Mathurin - Saint-Sulpice-des-Landes
GENDRON DE LA ROLANDIÈRE, Guillaume - Blain
GEORGET, Jean - Châteaubriant
GEORGETEAU, Claude - Machecoul
GEORGETEAU, Honoré - Machecoul
GIRARD, Etienne - Nantes
GOURAULT, Guillaume - Nantes
GUYON, Julien - Guémené-Penfao
HAUTBOIS, Julien - Louisfert
HUET DE LA VALINIÈRE, - Varades
JAMIN, Julien - Saint-Julien-de-Concelles
JOLY, Julien - Ancenis
LEBOESME, Antoine - Bourgneuf-en-Retz
LÉPINAY (de), Jean - Bouguenais
MÉLINE, Louis - Frossay
MÉTIVIER, Jean - Nantes
MEUNIER, Charles - Frossay
MEUNIER, Perrine - Nantes
MOREAU, Claude - Vieillevigne
MOREAU, Jean - Saint-Philbert-de-Grand-Lieu
MORISSEAU, Joseph - Saint-Aignan-GrandLieu
NADREAU, Nicolas - Sucé-sur-Erdre
NAULT, Jean-Baptiste - Machecoul
NORMAND, Jean - Nantes
NORMANT DE FARADON, Louis - Châteaubriant
PASSARD - Nozay
PETIT, Pierre - Le Pellerin
PHILIBERT, Jean - Guérande
PICARD, Hugues - Saint-Colomban
POUPARD dit Lafleur, René - Plessé
PTOLÉMÉE ou THOULOMME ou TOULMER, Charles - Plessé
RENAUD, Joseph - Nantes
RENAUDIN Marie - Nantes
ROBIN, François - Nantes
ROULIER, Pierre - La Chapelle-Basse-Mer
SAUPIN, Jean-joseph - Nantes
SÉDINOT, Jean - Machecoul
SÉNARD, René - Nantes
SOLO, Henry - Nantes
TALUA, Julien - Rezé
TÊTU, Daniel - Nantes
THIBODEAU, François - Vieillevigne
TRUCHON, Louis - Abbaretz
VIAU, Jacques - Clisson
VILAINE, Jean - Saint-Hilaire-de-Clisson
VILLIEU DES AUBINELLES (de), Claude-Sébastien - Vieillevigne
VILLIEU (de), Jeanne-Catherine - Vieillevigne
VOISIN, Pierre - Nantes
