AUGRIN, Jean - Commer
AVENEAU, Claude - Laval
BABON, Pierre - Laval
BANET, André - Andouillé
BARBET, François - Sacé
BLANCHARD, Alexandre - Thorigné-en-Charnie
CHANTELOUP, François - Meslay-du-Maine
CHAUVIN, Michel - Sainte-Suzanne
CHEVALIER, Étienne - Saint-Laurent-des-Mortiers
COTIN, Tugal - Laval
DAVOST, Ambroise - Laval
DÉLIERS, Julien - Laval
DROUILLARD, René - Saint-Pierre-la-Cour
DRUGEOT, François - Entrammes
DURAND, François - Azé
DUVAL, Etienne - Olivet
DUVERNAY du RONCERAY, Andrée - Laval
FOUCAULT, François - Sainte-Suzanne
GANDON, Julien - Saint-Berthevin
GAULTIER de BRULLON, Jean - Saint-Laurent-des-Mortiers
GEORGET, François - Laval
GUILLEMOT, François - Mayenne
GUILLON, Jean - Châtillon-sur-Colmont
HAUDET, Antoine-Jacques - Château-Gontier
HUET, Pierre - Sainte-Suzanne
LECOURS, Michel - Sainte-Gemmes-le-Robert
LE TESSIER, Jacques - Château-Gontier
LETOURNEUX, Jean-Baptiste - Craon
MAREST, Pierre-Gabriel - Laval
MAUMOUSSEAU, Françoise - Château-Gontier
MIGNAULT, René - Laval
MILLOT, Jacques - La Croixille
MONTREUIL de LACHAUX, Jean-René - Neuilly-le-Vendin
MOTTIN, Guy - Meslay-du-Maine
POITEVIN, François - Gorron
RAVARY, François-Etienne - Laval
REGERO, Louis-François - Épineux-le-Seguin
ROGER, François - Châlons-du-Maine
SAGOT, Abel - Andouillé
SAILLANT, Julien - Andouillé
TREVET, François - Juvigné
VIEL, Michel - Cossé-le-Vivien
