Index - alphabétique
NORD - (59)
ANTONIAU ou HANOTEAU, Antoine - Solre-le-Château
AUBERTIN, Jean - Grand-Fayt
AVACHE ou ANACHE, Noël-Joseph - Sancourt
AVARE, Robert - Condé-sur-l’Escaut
BLUTEAU, Antoinette - Condé-sur-l’Escaut
BOLVIN, Gilles - Avesne-sur-Helpe
BOMBARDIER dit Passe-Partout, André - Lille
BONNET, Jean-Baptiste - Dunkerque
BOUCHER, Etienne-Francois - Cambrai
BOULARD dit Cambray, François - Cambrai
BOYAU, Vincent-Joseph - Cambrai
BRIDEL, Philippe-André - Anneux
BROUTIN, Ignace-François - La Bassée
BULTEAU, Guillaume. - Saint-André-lèz-Lille
BUSQUE, Jean - Dunkerque
CADRAT, Nicolas. - Saint-André-lèz-Lille
CALAIS, Simon-François - Le Cateau-Cambresis
CARCO, Nicolas-Pierre - Dunkerque
CELLIER, Charles - Lille
CHARVAIT, Antoine - Lille
CHON dit Cambrai, Jean-François - Cambrai
COLONNE (de), Jacques-Ladislas-Joseph - Douai
COUSIN, Pierre-François - Bourbourg
CRESPEL, Emmanuel - Douai
CROMBIAU, Noël - Cambrai
CYR, Louis - Dunkerque
DALBARS dit Saint-Antoine, Antoine-Joseph - Lille
DEBETTE dit Filidor, Raoul-Marie - Maubeuge
DECLOUET - DE PIETRE,
Alexandre-François-Joseph - Le Cateau-Cambresis
DECROIX, Gilles-Joseph-Louis - Lille
DEGUISE dit Flamand, Guillaume - Dunkerque
DELATTE, Antoine-Joseph - Douai
DELCROSSE dit Bellerose, Jean - Walincourt-Selvigny
- - 74
DELESTRE dit Levalon, Thierry - Avesne-sur-Helpe
DELEZENNE, Ignace-François - Lille
DELPIERRE, Joseph - Cambrai
DENEAU dit Sanscartier, Antoine-Joseph - Lille
DESMOULINS, Jacques - Lille
DINGLE, Jacques - Gravelines
DOUAY, Anastase. - Le Quesnoy
DRAPIER dit Belhumeur, Jean-Pierre - Cambrai
DU BUISSON, Marie-Françoise - Dunkerque
DUBIE, Marie-Marguerite - Lille
DUE, Joseph - Le Cateau-Cambresis
DUFRESNE, Etienne-Joseph - Lille
DUPRE, Antoine - Cassel
DUPUIS, Jean-Baptiste - Lambersart
FERON ou FRION, Marguerite - Cambrai
FERVAC dit Larose, Armand-Joseph - Lille
FONTAINE, Pierre-François - Brunemont
FOSSIER, Joseph - Cambrai
FOUBERT, Marie-Josèphe - Landrecies
FOURMOY, François - Cambrai
FRANQUET, Louis - Condé-sur-l’Escaut
GAUFIN, Valerien - Douai
GAUTHIER, Jean-Baptiste - Oisy
GOSSIAU, Charles - Avesne-sur-Helpe
GRENETdit Beausejour, François-Gaspard - Bauvin
GRENIER, Jean-Baptiste - Valenciennes
GUESDRON, Julien. - Cambrai
GUYON, Jean-Baptiste - Cartignies
HAUSSY, Augustine - Maubeuge
HEQUE, Charlotte - Maubeuge
HERBEC, Nicolas-François - Valenciennes
HOURDEGUIN, Marie-Jeanne - Lieux Inconnus
ISABEAU, Philippe - Avesne-sur-Helpe
JARON dit Latulippe, Louis - Douai
L’HÔTELIER, Marie-Madeleine - Dunkerque
LACROIX, Adrien - Valenciennes
LAGOTHERIE dit Demain, Pierre - Cambrai
LAHAYE dit Lajeunesse, Jacques-Charles - Dunkerque
LANGRENE ou LAGRENE, Nicolas-Joseph - Douai
LARMUSEAU ou LARMIJEAU (de), Marie-Joseph - Maroilles
LARMUSIAU ou DERMUSIAU, Jeanne - Avesne-sur-Helpe
LARMUSIAU, Marie-Marguerite - Avesne-sur-Helpe
LARMUSIAU, Thomas - Avesne-sur-Helpe
LASSELIN dit Bellefleur, Jean-Romain - Villers-en-Cauchies
LAVALLEE, Marie-Elisabeth - Douai
LECLERC dit Laderoute, Jean-Baptiste - Bavay
LEMOINE, Charles-François - Lille
LENORMANT DE MEZY, Jacques-Ange - Dunkerque
LORNE, Jacques - Lieux Inconnus
LOUISMET, Jean. - Dunkerque
LUCE, Françoise - Dunkerque
LUCE, Isabelle - Dunkerque
MAGNUS, Marie-Jeanne - Hautmont
MAHAU, Jean-François-Joseph - Douai
MANARD, Jean-François - Marchiennes
MESNEL, Antoine-Joseph - Dunkerque
MICHEL dit Saint-Pierre, André-Joseph - Lille
MONY ou MONIER, Joseph - Lille
- Index alphabétique - des personnages
MUNIER, Martin - Cobrieux
OUTRAGE dit Sansoucy, Joseph - Cambrai
PIETTE dit Saint-François, François - Dunkerque
POURCIAU, Jean-Baptiste - Cambrai
POUTRE ou POUDRET dit Lavigne, André - Valenciennes
REINE, Marie-Jeanne - Maubeuge
RICBOURG dit Lapensée, Pierre-François - Emmerin
ROUET dit Vivelamour, Pierre-Joseph - Cambrai
ROY, Louis - Lille
SAUVAGE, Charles-Joseph-Louis - Cambrai
SIMPEL, dit Paul le Bleu, François - La Gorgue
SULTE dit Vadeboncoeur, Jean - Lille
TARARE, Marie-Josèphe - Lieux Inconnus
TARDY, Joseph - Lille
THIBAULT dit Bellerose, Jérôme-Joseph - Lille
THOMELIN, Pierre - Dunkerque
TISON ou TISSON, Jean-Baptiste - Valenciennes
TOURNOIS, Jean-Baptiste - Orchies
TURGEON, François - Dunkerque
VARIN, Pierre. - Dunkerque
VAUCHENE (de), Georges-Thomas - Dunkerque
VUITRIQUIN, François - Maubeuge
