AUBERT, Marcellin - Lyon
BARRE, Jean - Lyon
BASSET, Jean - Lyon
BERGER, Jean - Saint-Didier-au-Mont-d’Or
BERNARD, Camille - Lyon
BERTRAND, François - Lyon
BONNET, Antoine - Condrieu
BORDUAS, François - Genay
BOSSU, Jean - Lyon
BOURGEOIS, Pierre - Saint-Maurice-sur-Dargoire
BRUYAS, Jacques - Lyon
BRY DE BROSSE (de), Jean - Lyon
BUYAT, Claude - Lyon
CAILLE, Pierre - Lyon
CHÂTEAU, Jean - Bagnols
CHOREL, François - Lyon
COLLET, Mathieu-Benoît - Lyon
CÔTÉ, Claude - Lyon
CRAPONE, Jean - Lyon
DAMBOURNAY, Joseph - Lyon
DAVID, François - Lyon
DEGEAY, Jacques - Lyon
DEPROUOND, Noël - Lyon
DERIVON DE BUTMONT, Pierre - Lyon
DESCHOTS, Pierre - Mornant
DETALARD dit Marin, Claude - Lyon
DIDIER, Thomas - Saint-Étienne-la-Varenne
DINAUT, Félix - Lyon
DONY, Jean-Antoine - Lyon
DUFOURNEL, Louis-Gaspard - Lyon
DUHON, Jean - Lyon
DU PERON, François - Lyon
DU PERRON, Joseph-Imbert - Lyon
DUPRE, Antoine - Saint-Sorlin
FUSELIER, Gabriel - Lyon
GAGNON, Philippe - Saint-Laurent-d’Agny
GAILLARD, Hippolyte - Lyon
GIRARD, Charles - Charnay
GIRARD, Jacques - Lyon
GREGOIRE, Pierre - Lyon
GRIAULT, Jeanne - Lyon
GUILLOT, Jean - Lyon
GUILLOT, Jean-Baptiste - Lyon
HOUATTÉ, Christophe - Lyon
LACAGE, Jean-Baptiste - Lyon
LAFAILLE, Henri - Lyon
LAINE, Benoît - Lyon
LA POIPPE - Lyon
LARUE, Jean - Lyon
LASERRE dit Lajeunesse, François - Lyon
LEBLANC, André - Lyon
LECOMPTE, Vital - Lyon
LEROY, Benoît - Lyon
MAILLET, François - Lyon
MAILLET, Pierre-Louis - Lyon
MARTIN DE LINO, Mathieu-François - Lyon
MASSE, Enemond - Lyon
MICHELON, Michel - Lyon
MIGUILLY, Jean - Lyon
MONTABERT, Etienne - Saint-Jean-la-Bussière
MONTPETIT, Gaspard - Saint-Jean-d’Ardières
MOTERE, Bertrand - Lyon
MOUCHY (de), Jeanne - Lyon
MOULU, Dominique - Lyon
NARBONNE, Pierre - Villefranche-sur-Saône
PARMENTIER, Louis - Lyon
PELISSIER, Christophe - Lyon
PETIT, Pierre - Lyon
PICHON, Pierre - Lyon
PONSART, Benoît - Lyon
RADISSON, Pierre-Esprit - Tarare
RANDIN, Hugues - Ecully
RAYMOND, Augustin - Lyon
RODAIS dit Calais, Philippe - Lyon
SATTIN, Antoine - Lyon
TASSY, Jeanne - Lyon
THOMASSIN, Antoine - Lyon
VIGIER, Jean-Baptiste - Lyon
