ALTON, Etiennette - La Flèche
ARTUS, Michelle - Noyen-sur-Sarthe
AUDEBOUT, Michel - Thorigné-sur-Dué
AUGER, Jean - Chemiré-en-Charnie
AUGER, Louis - Chemiré-en-Charnie
AVERTY, Julien - La Flèche
AVERTY, Maurice - La Flèche
BAREAU, Pierre - La Flèche
BARRÉ, Jean - Tuffé
BAUDRY, Antoine - Chemiré-en-Charnie
BAUDEREAU, Urbain - Clermont-Créans
BEAUCIER, Françoise - Saint-Georges-du-Rosay
BEAUCIER, Jeanne - Saint-Georges-du-Rosay
BEAUDOUIN, Jean - Courcival
BEAUDOUIN, Madeleine - Courcival
BEAUDOUIN, René - Courcival
BEAUDRY, Urbain - Luché-Pringé
BEAUDU, Françoise - Saint-Georges-du-Rosay
BÉLAND, Robert - Brûlon
BELLOY, Julien - Clermont-Créans
BÉNARD, Françoise - Vouvray-sur-Loir
BÉRARD, Gabriel - Château-du-Loir
BESNIER, Massé - Rouperroux-le-Coquet
BINOTEAU, Julien - La Flèche
BISSON, Florent - Saint-Cosme-en-Vairais
BISSON, Gervais - Saint-Cosme-en-Vairais
BISSON, Gervais - Saint-Cosme-en-Vairais
BISSON, Mathurine - Saint-Cosme-en-Vairais
BISSON, Michel - Saint-Cosme-en-Vairais
BITEAU, Louis - Clermont-Créans
BLANCHARD, Alexandre - Thorigné-sur-Dué
BLOIS, Marguerite - La Ferté-Bernard
BOIRET, Urbain - La Flèche
BOUCHARD, Claude - Saint-Cosme-en-Vairais
BOULARD, Etienne - Château-du-Loir
BOULARD, Martin - Saint-Cosme-en-Vairais
BOURGCHEMIN DE l’HERMITIÈRE (du), Jacques-François - Louzes
BOUVIER, Michel - La Flèche
BOUZÉ, Pierre - Sablé-sur-Sarthe
BRESLAY (de), René-Charles - Le Mans
BROSSARD, Urbain - La Flèche
CADIEU, Jean - Luché-Pringé
CAEL, François - Le Mans
CHANDONNAY, Charles - Saint-Calais
CHARROUX, Thomas - Bonnétable
CHARTIER, Guillaume - La Flèche
CHAUVIN, Pierre - Solesmes
CHERRIER, François-Pierre - Savigné-l’Évêque
COURTEMANCHE, Antoine - Dissay-sous-Courcillon
CRÉPON, Charles - Connerré
CUILLERIER, René - Mareil-sur-Loir
DAVOUST, Jean - Clermont-Créans
DELAUNAY, Pierre - Fresnay-sur-Sarthe
DENIAU, Marin - Luché-Pringé
DERVILLE, Julien-François - Château-du-Loir
DESAUTELS, Pierre - Malicorne-sur-Sarthe
DODIER, Jacques - Saint-Cosme-en-Vairais
DODIER, Jeanne - Mamers
DUMANS, Marie - La Flèche
DUPARC, Jean-Baptiste - Le Mans
FARIBAULT, Barthélémy - Montbizot
FORTIN, Julien - Saint-Cosme-en-Vairais
FOURAULT, René - La Flèche
FRESNOT, Jean - Ruillé-en-Champagne
GAGNÉ, Louis - Saint-Cosme-en-Vairais
GAGNÉ, Pierre - Saint-Cosme-en-Vairais
GAILLARD, Christophe - La Flèche
GALBRUN, Simon - La Flèche
GARNIER, Charles - Sainte-Jamme-sur-sarthe
GARNIER, François - Saint-Cosme-en-Vairais
GARNIER, Louise - Bazouges-sur-le-Loir
GASNIER, Louis - Saint-Cosme-en-Vairais
GASNIER, Pierre - Saint-Cosme-en-Vairais
GATEAU, Jean - Clermont-Créans
GODIN, Perrine - La Flèche
GRISARD, Louise - Chemiré-en-Charnie
GUITAUT, Jacques - La Flèche
HAGUENIER, Léger - Flée
HARDY, Pierre - Le Bailleul
HAUTREUX, Marthe - Noyen-sur-Sarthe
HENRY, François - Montabon
HEURTEBISE, André - Rouessé-Vassé
HEURTEBISE, Marin - Rouessé-Vassé
HODIAU, Sébastien - La Flèche
HODIAU, Urbaine - La Flèche
HUBERT, François - Le Lude
HUDIN, François - La Flèche
HUET, Joseph - Le Lude
HURAULT, Catherine - La Flèche
HUSARD, François - Le Mans
JETTÉ, Urbain - La Flèche
JOSSELIN, Nicolas - Solesmes
JOUANNEAU, Mathurin - Aubigné-Racan
JOUSSET, Mathurin - La Flèche
LABBÉ, Pierre - La Ferté-Bernard
LAGOU, Anne - Le Mans
LAIR, Etienne - Villaines-sous-Malicorne
LALANDE, Etienne - Vernie
LANCELEUR, René - La Flèche
LANDEAU, Marie-Noëlle - Jauzé
LANGEVIN, Élisabeth - Le Lude
LANGEVIN, Mathurin - Le Lude
LANGEVIN, René - Le Lude
LAPLANCHE (de), Jean - La Flèche
LE BERT, Pierre - Château-du-Loir
LECOMTE, Jean - Chemiré-en-Charnie
LE DOUX, Louis - Le Mans
L’HOMME, Michel - Saint-Cosme-en-Vairais
LEMAIRE, Nicole - Mamers
LEMERCHÉ, Jean - Clermont-Créans
LEMONNIER, Marie - La Flèche
LÉONARD, Julien - Le Mans
LE PRÊTRE, Mathurin - Bonnétable
LEREAU, Marie - Saint-Cosme-en-Vairais
LEREAU, Simon - Saint-Cosme-en-Vairais
LEROY, Nicolas - Clermont-Créans
LEROUX, Martin - Château-du-Loir
LOPPÉ, Renée - Saint-Jean-de-la-Motte
LOUVARD, Michel - Parcé-sur-Sarthe
LOYER, Jacques - La Flèche
MALINE, Jeanne - Saint-Cosme-en-Vairais
MARTIN, François - La Flèche
MARTIN, Pierre - La Flèche
MARTINEAU, Jean - La Flèche
MAUFAY, Pierre - Saint-Cosme-en-Vairais
MÉTIVIER, Jacques - Saint-Georges-du-Rosay
MEUNIER, Mathurin - Clermont-Créans
MICHON, Abel - La Flèche
MANDOUX, Abel - Requeil
MORIN, Jacques - La Flèche
MOYNE, François - Le Mans
NADREAU, Françoise-Jacqueline - La Flèche
NAIL, Jacques - Solesmes
NOCHET, François - Chemiré-en-Charnie
NOUCHET, Joseph - Le Lude
OLIVIER, Jean - Chemiré-en-Charnie
ORFROY, Urbain - La Flèche
PAGEOT, Thomas - Saint-Aignan
PAPIN, Pierre - Sablé-sur-Sarthe
PARÉ, Robert - Solesmes
PELOT, Pierre - La Flèche
PICHARD, Jean - Rouez-en-Champagne
PINEAU, Pierre - Le Mans
PINSON, Marie-Michelle - La Flèche
PIQUET, Joseph - Le Mans
PIRON, François - LA SUZE-SUR-SARTHE
PIRON, Pierre - Malicorne-sur-Sarthe
PLUMEREAU, Julien - Le Mans
POMMIER, Jean - Le Mans
PONTONNIER, Marie - Le Lude
POULIOT, Charles - Saint-Cosme-en-Vairais
PRESTEAU, Jean - Parcé-sur-Sarthe
RAGUIDEAU, Pierre - La Flèche
RENOUIL, Jean - Mézeray
ROBIDAS, Jacques - Le Mans
ROBIN, Louis - Le Mans
ROCHERON, Gervais - Saint-Cosme-en-Vairais
ROCHERON, Marie - Saint-Cosme-en-Vairais
ROCHERON, Simon - Saint-Cosme-en-Vairais
ROGER, Christophe - Clermont-Créans
ROSÉE, Marguerite - Jauzé
ROUAULT, Pierre - La Ferté-Bernard
ROUILLARD, Antoine - Saint-Cosme-en-Vairais
ROULOIS, Jacqueline - Saint-Cosme-en-Vairais
ROULOIS, Madeleine - Saint-Cosme-en-Vairais
ROULOIS, Michel - Saint-Cosme-en-Vairais
ROY, Simon - Ligron
ROYER, Jean - Saint-Cosme-en-Vairais
ROYNÉ, François - Sablé-sur-Sarthe
SAULDÉ, Jeanne - La Flèche
SAVONNIÈRES de la TROCHE, Marie - Saint-Germain-d’Arcé
TAVERNIER, Jean - Roezé-sur-Sarthe
TOUPIN, Jean - Le Mans
VALIQUET, Jean - Le Lude
VALLETS, Jean - Thorée-les-Pins
VÉDIE, Jeanne - La Flèche
VILLAIN, Pierre - Vouvray-sur-Loir
VOYER, Pierre - Marolles-les-Braults
YVON, Jeanne - Saint-Cosme-en-Vairais
