ADAM, Jean - Brienon-sur-Armançon
AILLEBOUST (d’), Charles - Ancy-le-Franc
AILLEBOUST (d’), Louis - Ancy-le-Franc
AILLEBOUST (d’), Roger - Ravières
ANDRÉ DE LEIGNE, Pierre - Tonnerre
BARBIER dit Lafredaine, Pierre - Sens
BARTHÉLEMY dit Saint-Antoine, Jean-Antoine - Sens
BENOÎT, Claude - Séry
BERNONVILLE dit Bourguignon, Antoine - Auxerre
BIENVILLE, Louis - Sens
BILLOT, Aimé ou Côme - Sens
BLANVILLAIN, Anne - Maligny
BLÉNON, Claude-Olivier - Sens
BONNET, Charles - Joigny
BOULLONGNE (de), Barbe - Ravières
BOULLONGNE (de), Philippe-Gertrude - Ravières
BRICE (de), madame - Auxerre
CHANCY, Marie - Auxerre
CHAPUY, Joseph - Auxerre
LA CHASSE (de), Pierre - Auxerre
CLAIRAMBAULT D’AIGREMONT, François - Nuits
COLIN, Anne - Sens
COLLAN, Etienne - Sens
COLLERET dit Bourguignon, François - Auxerre
COULON dit Davignon, Jacques André - Crain
COURTEAU, Pierre - Pontaubert
DESCHAMPS dit Bourguignon, Etienne - Sens
DESERIN dit Sanscrainte, Godefroi - Saint-Bris-le-Vineux
DESROCHES, Jean - Lucy-le-Bois
DEVILLE, Jean-Marie - Auxerre
DOUTRELEAU, Etienne - Auxerre
DUNEAU dit Noyers, Melchior - Noyers
GALLE, François - Tonnerre
GALLIMARD DE CHAMPLAIN, Augustin - Saint-Florentin
GAUTHIER, Marie Jeanne - Domats
GIRAULT DE VILLENEUVE, Etienne Pierre - Auxerre
GODEFROY dit Belhumeur, Etienne - Joigny
GUÉNIER dit Bourguignon, André - Auxerre
GUYARD DE FLEURY, Jean-Baptiste - Seignelay
GUYOT ou DIOT dit Latresse, Pierre - Asquins
HAY, Pierre - Auxerre
HOUDIN, Jean - Ancy-le-Franc
HUOT dit Saint-Laurent, Nicolas - Auxerre
JANIS, François - Argenteuil-sur-Armançon
LAMARRE dit Saint-Vincent, Vincent - Stigny
LEBLANC, Auguste - Auxerre
LEBLOND dit Bellegarde, Jacques - Saint-Valérien
LEGRAND, Pierre-Alexandre - Sens
LEMAIRE, Anne - Pont-sur-Yonne
LENOIR dit Brindamour, Edmé-Roch - Compigny
LEPAGE, Constance - Ouanne
LEPAGE, Etienne - Ouanne
LEPAGE, Germain - Ouanne
LEPAGE, Louis - Ouanne
LEPAGE, René - Ouanne
LOREAU, Edmé - Saint-Florentin
LOURY, Reine - Ouanne
MARCOUX, Pierre - Cry
MARTIN, Marie - Ravières
MAUGRAS, Jacques - Ligny-le-Châtel
MICHAUT, Françoise - Jully
MICHAUT, Louise - Jully
MILLOT dit Le Bourguignon, Jean - Vermenton
NORMAND, Catherine - Sens
NORMAND, Madeleine - Sens
PAGÉ dit Piedferme, Jean - Coulanges-sur-Yonne
PARIS, Françoise - Sens
PÉRILLARD dit Bourguignon, Nicolas - Auxerre
RACLOT, Edmé-François - Joigny
REGNAULT, François - Seignelay
ROJOT, François - Irancy
ROUSSEAU, Michel - Tonnerre
ROY dit Desjardins, Antoine - Joigny
ROYET, Anatole - Auxerre
SÉGUIN, Joseph - Pacy-sur-Armançon
SERVIGNIEN, Jeanne - Irancy
SOUILLARD, Nicole - Grange-le-Bocage
THOMAS, Edmé-Augustin - Joigny
THUOT dit Duval, Pierre - Tonnerre
TRINQUET dit Beauséjour, Nicolas - Joux-la-Ville
VAILLANT, Edmond - Sens
VARAMBOUVILLE (de) dit Jolicoeur, Antoine - Auxerre
VAUDOUX dit Saint-André, André - Sens
GUÉRIN dit Saint-Étienne, Étienne - Épineuil
